0.710461	0.362381	1.000000	0.000000	0.032945	1.243755
0.900930	0.167889	0.942104	0.000000	0.192707	1.014728
0.993109	0.098228	0.782050	0.000000	0.300833	0.513805
0.987048	0.284825	0.539116	0.000000	0.328351	-0.124792
0.882831	0.471647	0.205901	0.000000	0.267888	-0.729950
0.679899	0.628950	0.000000	0.000000	0.135644	-1.139519
0.351753	0.744508	0.000000	0.000000	-0.032945	-1.243755
0.000000	0.810138	0.000000	0.000000	-0.192707	-1.014728
0.000000	0.821294	0.333090	0.000000	-0.300833	-0.513805
0.000000	0.777207	0.629650	0.000000	-0.328351	0.124792
0.000000	0.680922	0.845832	0.000000	-0.267888	0.729950
0.403148	0.539173	0.975359	0.000000	-0.135644	1.139519
0.556408	0.585802	0.585474	0.000000	0.000000	0.000000
